mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-398.54153,105.72999,-8.089118,10.088941,2.066984,1.1223149,2.9047503,-4.927585,-1.8037007,-3.3589509,-0.46502036,3.9435537,-4.9330034,0
-350.62302,103.09367,-18.437252,25.850492,7.726303,4.3159814,-1.753457,-14.152697,-2.1043003,2.094154,1.1941395,10.265514,2.6552231,0
-386.9008,118.64615,-14.277285,11.481309,14.0104475,-11.776304,6.4244757,-11.202548,-8.53695,-2.8951037,1.1705976,4.9392276,8.635873,0
-364.40265,93.33403,-18.991875,4.3815074,1.0681072,-3.6213715,-10.657305,-3.8770645,-0.20542462,-9.945051,2.5355089,-0.7005387,-5.2824197,0
-352.59433,97.865685,-13.311212,9.6050415,-6.6537237,-1.7170982,6.8010697,-18.744736,-7.733692,0.022920692,-3.9041066,5.054181,1.0024805,1
-339.51407,98.300865,-31.49642,29.151623,-0.29063964,-7.439359,0.00462207,-7.631899,3.3722863,-7.30981,-9.900819,9.160155,-11.406833,0
-373.9227,74.83028,-6.6570597,2.44345,-4.4944005,-9.566851,-2.328167,-12.32452,-0.03449799,5.624666,0.36076337,4.0490284,-6.942329,1
-338.32388,125.33851,-28.32056,33.783146,-9.307839,4.1832304,-3.697605,-15.429708,10.513031,-2.1283638,4.611359,0.9335624,1.7902808,1
-349.21167,108.681305,-12.1463375,17.165066,2.9640958,0.21431305,9.388144,-0.33332068,2.6119735,-5.6222787,-6.2975163,1.2102419,-2.724781,0
-362.40994,111.496124,-15.873601,19.283037,3.4239311,-1.986341,3.5461402,-2.314488,0.9203022,-6.234709,-5.7306542,1.4048725,-4.541438,1
-379.89734,83.8303,-5.890618,-3.4012585,-5.789051,-10.89321,1.7347162,-5.5806904,-8.686619,-10.311778,-3.2370658,9.345436,16.750195,0
-378.23703,86.78645,5.6500397,-5.118696,6.982604,-4.359918,-1.8637325,-7.986466,-3.4856327,-0.9160713,1.3925806,-4.1528516,-1.6351608,1
